time,DOWNSTREAM_PRES
10/01/2015,3622.960589358711
11/01/2015,3611.585526223788
12/01/2015,3600.2461775434217
01/01/2016,3588.9424311844073
02/01/2016,3577.6741753656074
03/01/2016,3566.4412986568477
04/01/2016,3555.243689977809
05/01/2016,3544.081238596937
06/01/2016,3532.953834130341
07/01/2016,3521.861366540704
08/01/2016,3510.8037261361933
09/01/2016,3499.7808035693793
10/01/2016,3488.7924898361525
11/01/2016,3477.838676274644
12/01/2016,3466.9192545641527
01/01/2017,3456.034116724074
02/01/2017,3445.1831551128303
03/01/2017,3434.366262426809
04/01/2017,3423.5833316993
05/01/2017,3412.834256299437
06/01/2017,3402.118929931148
07/01/2017,3391.4372466320947
08/01/2017,3380.789100772635
09/01/2017,3370.174387054771
10/01/2017,3359.593000511113
11/01/2017,3349.0448365038364
12/01/2017,3338.5297907236504
01/01/2018,3328.047759188767
02/01/2018,3317.598638243869
03/01/2018,3307.1823245590886
04/01/2018,3296.7987151289863
05/01/2018,3286.4477072715254
06/01/2018,3276.1291986270653
07/01/2018,3265.843087157347
08/01/2018,3255.589271144477
09/01/2018,3245.367649189931
10/01/2018,3235.1781202135467
11/01/2018,3225.0205834525236
12/01/2018,3214.894938460429
01/01/2019,3204.801085106204
02/01/2019,3194.7389235731675
03/01/2019,3184.7083543580416
04/01/2019,3174.7092782699547
05/01/2019,3164.74159642947
06/01/2019,3154.8052102676006
07/01/2019,3144.9000215248425
08/01/2019,3135.0259322501947
09/01/2019,3125.182844800193
10/01/2019,3115.3706618379524
11/01/2019,3105.589286332192
12/01/2019,3095.8386215562823
01/01/2020,3086.1185710872915
02/01/2020,3076.429038805024
03/01/2020,3066.769928891077
04/01/2020,3057.141145827889
05/01/2020,3047.542594397796
06/01/2020,3037.9741796820913
07/01/2020,3028.4358070600847
08/01/2020,3018.927382208169
