time,DOWNSTREAM_TEMP
11/01/2010,389.6045332828163
12/01/2010,390.42217103819735
01/01/2011,391.2415247168849
02/01/2011,392.0625979199761
03/01/2011,392.885394256125
04/01/2011,393.70991734155945
05/01/2011,394.5361708000959
06/01/2011,395.3641582631561
07/01/2011,396.193883369783
08/01/2011,397.02534976665635
09/01/2011,397.8585611081088
10/01/2011,398.6935210561426
11/01/2011,399.53023328044486
12/01/2011,400.368701458404
01/01/2012,401.208929275126
02/01/2012,402.05092042345086
03/01/2012,402.8946786039679
04/01/2012,403.7402075250331
05/01/2012,404.58751090278463
06/01/2012,405.43659246115965
07/01/2012,406.2874559319105
08/01/2012,407.14010505462096
09/01/2012,407.9945435767231
10/01/2012,408.8507752535132
11/01/2012,409.7088038481687
12/01/2012,410.5686331317645
01/01/2013,411.4302668832898
02/01/2013,412.2937088896642
03/01/2013,413.15896294575475
04/01/2013,414.02603285439284
05/01/2013,414.8949224263904
06/01/2013,415.76563548055657
07/01/2013,416.63817584371526
08/01/2013,417.5125473507214
09/01/2013,418.3887538444776
10/01/2013,419.2667991759515
11/01/2013,420.14668720419263
12/01/2013,421.02842179634905
01/01/2014,421.9120068276845
02/01/2014,422.797446181596
03/01/2014,423.68474374962966
04/01/2014,424.5739034314991
05/01/2014,425.4649291351017
06/01/2014,426.3578247765362
07/01/2014,427.25259428011987
08/01/2014,428.1492415784056
09/01/2014,429.0477706121993
10/01/2014,429.9481853305772
11/01/2014,430.8504896909031
12/01/2014,431.75468765884614
01/01/2015,432.6607832083975
02/01/2015,433.56878032188865
03/01/2015,434.4786829900087
04/01/2015,435.3904952118212
05/01/2015,436.3042209947829
06/01/2015,437.21986435476015
07/01/2015,438.13742931604736
08/01/2015,439.0569199113849
09/01/2015,439.9783401819756
10/01/2015,440.90169417750394
11/01/2015,441.826985956153
12/01/2015,442.7542195846223
01/01/2016,443.68339913814634
02/01/2016,444.61452870051164
03/01/2016,445.54761236407506
04/01/2016,446.4826542297823
05/01/2016,447.4196584071849
06/01/2016,448.35862901445915
07/01/2016,449.299570178424
08/01/2016,450.24248603455874
09/01/2016,451.1873807270218
10/01/2016,452.13425840866836
11/01/2016,453.08312324106964
12/01/2016,454.03397939452947
01/01/2017,454.9868310481045
02/01/2017,455.9416823896212
03/01/2017,456.89853761569503
04/01/2017,457.8574009317484
05/01/2017,458.8182765520293
06/01/2017,459.78116869963037
07/01/2017,460.7460816065065
08/01/2017,461.71301951349403
09/01/2017,462.68198667032937
10/01/2017,463.6529873356673
11/01/2017,464.62602577710066
12/01/2017,465.60110627117757
01/01/2018,466.5782331034214
02/01/2018,467.5574105683494
03/01/2018,468.53864296949126
04/01/2018,469.52193461940834
05/01/2018,470.50728983971254
06/01/2018,471.4947129610849
07/01/2018,472.4842083232954
08/01/2018,473.47578027522127
09/01/2018,474.46943317486677
10/01/2018,475.4651713893818
11/01/2018,476.46299929508143
12/01/2018,477.4629212774649
01/01/2019,478.4649417312351
02/01/2019,479.46906506031775
03/01/2019,480.4752956778808
04/01/2019,481.4836380063539
05/01/2019,482.49409647744784
06/01/2019,483.5066755321737
07/01/2019,484.52137962086266
08/01/2019,485.53821320318593
09/01/2019,486.55718074817327
10/01/2019,487.578286734234
11/01/2019,488.60153564917533
12/01/2019,489.6269319902234
01/01/2020,490.6544802640418
02/01/2020,491.6841849867523
03/01/2020,492.71605068395417
04/01/2020,493.75008189074464
05/01/2020,494.78628315173785
06/01/2020,495.82465902108595
07/01/2020,496.8652140624984
08/01/2020,497.907952849262
